Category: All categories

Day,Cabo Verde: (Worldwide)
2026-06-01,<1
2026-06-02,<1
2026-06-03,<1
2026-06-04,<1
2026-06-05,<1
2026-06-06,1
2026-06-07,<1
2026-06-08,<1
2026-06-09,<1
2026-06-10,1
2026-06-11,1
2026-06-12,1
2026-06-13,1
2026-06-14,2
2026-06-15,50
2026-06-16,11
2026-06-17,3
2026-06-18,2
2026-06-19,2
2026-06-20,2
2026-06-21,32
2026-06-22,18
2026-06-23,3
2026-06-24,2
2026-06-25,2
2026-06-26,6
2026-06-27,27
2026-06-28,7
2026-06-29,5
2026-06-30,6
2026-07-01,5
2026-07-02,6
2026-07-03,94
2026-07-04,100
2026-07-05,8
2026-07-06,4
2026-07-07,4
2026-07-08,2
2026-07-09,2
2026-07-10,2
2026-07-11,2
2026-07-12,2
2026-07-13,1
2026-07-14,1
2026-07-15,1
2026-07-16,1
2026-07-17,1
2026-07-18,1
2026-07-19,1
2026-07-20,1
2026-07-21,1
2026-07-22,1
2026-07-23,1
2026-07-24,1
2026-07-25,1
2026-07-26,1
2026-07-27,1
2026-07-28,1
2026-07-29,<1
2026-07-30,<1
2026-07-31,<1
