date,World Cup watch party
2024-12-29,0
2025-01-05,0
2025-01-12,0
2025-01-19,0
2025-01-26,0
2025-02-02,0
2025-02-09,0
2025-02-16,0
2025-02-23,0
2025-03-02,0
2025-03-09,0
2025-03-16,0
2025-03-23,0
2025-03-30,0
2025-04-06,0
2025-04-13,0
2025-04-20,0
2025-04-27,0
2025-05-04,0
2025-05-11,0
2025-05-18,0
2025-05-25,0
2025-06-01,0
2025-06-08,0
2025-06-15,0
2025-06-22,0
2025-06-29,0
2025-07-06,0
2025-07-13,0
2025-07-20,0
2025-07-27,0
2025-08-03,0
2025-08-10,0
2025-08-17,0
2025-08-24,0
2025-08-31,0
2025-09-07,1
2025-09-14,0
2025-09-21,0
2025-09-28,0
2025-10-05,0
2025-10-12,0
2025-10-19,0
2025-10-26,0
2025-11-02,1
2025-11-09,1
2025-11-16,1
2025-11-23,0
2025-11-30,2
2025-12-07,1
2025-12-14,1
2025-12-21,0
2025-12-28,0
2026-01-04,0
2026-01-11,1
2026-01-18,1
2026-01-25,0
2026-02-01,1
2026-02-08,1
2026-02-15,1
2026-02-22,1
2026-03-01,1
2026-03-08,1
2026-03-15,1
2026-03-22,1
2026-03-29,1
2026-04-05,1
2026-04-12,1
2026-04-19,1
2026-04-26,1
2026-05-03,2
2026-05-10,3
2026-05-17,4
2026-05-24,6
2026-05-31,15
2026-06-07,88
2026-06-14,93
2026-06-21,75
2026-06-28,100
2026-07-05,93
2026-07-12,73
2026-07-19,37
2026-07-26,1
