Category: All categories

Country,FIFA World Cup: (6/1/26 - 7/31/26)
Solomon Islands,
Vanuatu,
Nepal,100
Maldives,
Belize,
Bangladesh,84
Kiribati,
Jamaica,79
Tuvalu,
Trinidad & Tobago,73
Fiji,
Guyana,
Qatar,71
Seychelles,
St. Vincent & Grenadines,
Aruba,
Dominica,
Zimbabwe,57
Malawi,
Bhutan,
Cayman Islands,
United Arab Emirates,54
Namibia,
American Samoa,
Brunei,
Botswana,
Curaçao,
Antigua & Barbuda,
Papua New Guinea,
Suriname,
Ghana,45
Mauritius,
Sint Maarten,
Lesotho,
Malaysia,42
Cook Islands,
Caribbean Netherlands,
Rwanda,
Somalia,
Laos,40
Grenada,
Zambia,40
Uganda,39
Bahrain,
Eswatini,
Turks & Caicos Islands,
Sierra Leone,
Bermuda,
Kuwait,36
Gambia,
Tonga,
South Africa,36
Malta,
Canada,35
Singapore,34
Ethiopia,33
Mongolia,
Oman,33
St. Martin,
Lebanon,32
New Zealand,32
Anguilla,
Barbados,
Samoa,
British Virgin Islands,
St. Helena,31
Kenya,31
St. Lucia,
St. Kitts & Nevis,
Australia,29
Cambodia,29
Liberia,
Sri Lanka,28
India,27
Greenland,
Pakistan,27
Montserrat,
Falkland Islands (Islas Malvinas),
Albania,
Bahamas,
Gibraltar,
Nigeria,27
Myanmar (Burma),26
Timor-Leste,
Tanzania,26
U.S. Virgin Islands,
Puerto Rico,25
Eritrea,
Saudi Arabia,23
Jersey,
South Sudan,
Ireland,21
Guernsey,
United Kingdom,20
Isle of Man,
Netherlands,20
Afghanistan,
North Macedonia,
United States,18
Philippines,18
Cyprus,
Jordan,17
Norway,17
Kosovo,
Lithuania,16
Vietnam,16
Georgia,
Denmark,14
Iceland,
Armenia,
Morocco,14
Egypt,13
Burundi,
Estonia,
Djibouti,
Finland,12
Luxembourg,
Panama,
Cameroon,
Svalbard & Jan Mayen,
Latvia,
Hong Kong,10
Costa Rica,
Slovenia,
Montenegro,
Serbia,9
Azerbaijan,
Iraq,9
Uzbekistan,
Cape Verde,
Bulgaria,9
Bosnia & Herzegovina,
Haiti,
Marshall Islands,
South Korea,8
China,
Turkmenistan,
Palau,
Nicaragua,
Croatia,
Western Sahara,
Portugal,7
Palestine,
Tunisia,
Romania,7
Germany,7
Libya,
Algeria,7
Macao,
Togo,
El Salvador,
Honduras,
Indonesia,6
São Tomé & Príncipe,
Equatorial Guinea,
Guatemala,
Switzerland,6
Dominican Republic,
Sweden,6
Greece,6
Israel,6
Moldova,
Mexico,6
Senegal,
Mozambique,
Andorra,
Belgium,5
Thailand,5
Madagascar,
Northern Mariana Islands,
Central African Republic,
Faroe Islands,
Angola,
French Polynesia,
Ecuador,4
Guam,
Micronesia,
Congo - Brazzaville,
Congo - Kinshasa,
Côte d’Ivoire,
Benin,
Tajikistan,
Hungary,
Colombia,4
Niger,
Spain,4
Mauritania,
Gabon,
Slovakia,
Åland Islands,
Kyrgyzstan,
Austria,
Burkina Faso,
Paraguay,
Bolivia,
Taiwan,3
Czechia,
Kazakhstan,
Yemen,
France,3
Uruguay,
Italy,3
New Caledonia,
Guinea,
Guinea-Bissau,
St. Barthélemy,
French Guiana,
Argentina,2
Comoros,
Peru,2
Mali,
Martinique,
Japan,2
Chile,2
Chad,
Poland,2
Cuba,
San Marino,
Syria,
Türkiye,2
Sudan,
Venezuela,
Guadeloupe,
Liechtenstein,
Iran,1
Brazil,1
Ukraine,
Mayotte,
Réunion,
Belarus,
Russia,
U.S. Outlying Islands,
Monaco,
North Korea,
South Georgia & South Sandwich Islands,
Christmas Island,
Vatican City,
Cocos (Keeling) Islands,
French Southern Territories,
Tokelau,
Antarctica,
St. Pierre & Miquelon,
Bouvet Island,
Wallis & Futuna,
Pitcairn Islands,
Heard & McDonald Islands,
Nauru,
Norfolk Island,
Niue,
British Indian Ocean Territory,
